"new.names";"old.names"
"PR17D_R2.fastq.gz";"LR126_R2.fastq.gz"
"LR126D_R1.fastq.gz";"LR126D_R1.fastq.gz"
"LR126D_R2.fastq.gz";"LR126D_R2.fastq.gz"
"LR126R_R1.fastq.gz";"LR126R_R1.fastq.gz"
"LR126R_R2.fastq.gz";"LR126R_R2.fastq.gz"
"PR19D_R1.fastq.gz";"LR127_R1.fastq.gz"
"PR19D_R2.fastq.gz";"LR127_R2.fastq.gz"
"LR127D_R1.fastq.gz";"LR127D_R1.fastq.gz"
"LR127D_R2.fastq.gz";"LR127D_R2.fastq.gz"
"LR127R_R1.fastq.gz";"LR127R_R1.fastq.gz"
"LR127R_R2.fastq.gz";"LR127R_R2.fastq.gz"
